Stop Name,GTFS Latitude,GTFS Longitude,GeoCode
Lexington Av/59 St,40.76266,-73.967258,"(-73.967258, 40.76266)"
5 Av/59 St,40.764811,-73.973347,"(-73.973347, 40.764811)"
57 St - 7 Av,40.764664,-73.98065799999999,"(-73.98065799999999, 40.764664)"
49 St,40.759901,-73.984139,"(-73.984139, 40.759901)"
Times Sq - 42 St,40.754672,-73.986754,"(-73.986754, 40.754672)"
34 St - Herald Sq,40.749567,-73.98795,"(-73.98795, 40.749567)"
28 St,40.745494,-73.988691,"(-73.988691, 40.745494)"
23 St,40.741303,-73.98934399999999,"(-73.98934399999999, 40.741303)"
14 St - Union Sq,40.735735999999996,-73.99056800000001,"(-73.99056800000001, 40.735735999999996)"
8 St - NYU,40.730328,-73.99262900000001,"(-73.99262900000001, 40.730328)"
Prince St,40.724329,-73.997702,"(-73.997702, 40.724329)"
Canal St,40.719527,-74.001775,"(-74.001775, 40.719527)"
Canal St,40.718383,-74.00046,"(-74.00046, 40.718383)"
City Hall,40.713282,-74.006978,"(-74.006978, 40.713282)"
Cortlandt St,40.710668,-74.01102900000001,"(-74.01102900000001, 40.710668)"
Rector St,40.70722,-74.01334200000001,"(-74.01334200000001, 40.70722)"
Whitehall St,40.703087,-74.01299399999999,"(-74.01299399999999, 40.703087)"
Essex St,40.718315000000004,-73.987437,"(-73.987437, 40.718315000000004)"
Bowery,40.720279999999995,-73.993915,"(-73.993915, 40.720279999999995)"
Canal St,40.718092,-73.999892,"(-73.999892, 40.718092)"
Chambers St,40.713243,-74.003401,"(-74.003401, 40.713243)"
Fulton St,40.710374,-74.007582,"(-74.007582, 40.710374)"
Broad St,40.706476,-74.01105600000001,"(-74.01105600000001, 40.706476)"
8 Av,40.739777000000004,-74.002578,"(-74.002578, 40.739777000000004)"
6 Av,40.737334999999995,-73.996786,"(-73.996786, 40.737334999999995)"
Union Sq - 14 St,40.734789,-73.99073,"(-73.99073, 40.734789)"
3 Av,40.732849,-73.986122,"(-73.986122, 40.732849)"
1 Av,40.730953,-73.981628,"(-73.981628, 40.730953)"
Inwood - 207 St,40.868072,-73.919899,"(-73.919899, 40.868072)"
Dyckman St,40.865491,-73.92727099999999,"(-73.92727099999999, 40.865491)"
190 St,40.859021999999996,-73.93418,"(-73.93418, 40.859021999999996)"
181 St,40.851695,-73.937969,"(-73.937969, 40.851695)"
175 St,40.847390999999995,-73.939704,"(-73.939704, 40.847390999999995)"
168 St,40.840719,-73.939561,"(-73.939561, 40.840719)"
163 St - Amsterdam Av,40.836013,-73.939892,"(-73.939892, 40.836013)"
155 St,40.830518,-73.941514,"(-73.941514, 40.830518)"
145 St,40.824783000000004,-73.944216,"(-73.944216, 40.824783000000004)"
145 St,40.824783000000004,-73.944216,"(-73.944216, 40.824783000000004)"
135 St,40.817894,-73.947649,"(-73.947649, 40.817894)"
125 St,40.811109,-73.952343,"(-73.952343, 40.811109)"
116 St,40.805085,-73.954882,"(-73.954882, 40.805085)"
Cathedral Pkwy (110 St),40.800603,-73.958161,"(-73.958161, 40.800603)"
103 St,40.796092,-73.961454,"(-73.961454, 40.796092)"
96 St,40.791641999999996,-73.96469599999999,"(-73.96469599999999, 40.791641999999996)"
86 St,40.785868,-73.96891600000001,"(-73.96891600000001, 40.785868)"
81 St - Museum of Natural History,40.781433,-73.972143,"(-73.972143, 40.781433)"
72 St,40.775594,-73.97641,"(-73.97641, 40.775594)"
59 St - Columbus Circle,40.768296,-73.981736,"(-73.981736, 40.768296)"
50 St,40.762456,-73.985984,"(-73.985984, 40.762456)"
42 St - Port Authority Bus Terminal,40.757308,-73.989735,"(-73.989735, 40.757308)"
34 St - Penn Station,40.752287,-73.993391,"(-73.993391, 40.752287)"
23 St,40.745906,-73.998041,"(-73.998041, 40.745906)"
14 St,40.740893,-74.00169,"(-74.00169, 40.740893)"
W 4 St,40.732338,-74.000495,"(-74.000495, 40.732338)"
W 4 St,40.732338,-74.000495,"(-74.000495, 40.732338)"
Spring St,40.726227,-74.003739,"(-74.003739, 40.726227)"
Canal St,40.720824,-74.005229,"(-74.005229, 40.720824)"
Chambers St,40.714110999999995,-74.008585,"(-74.008585, 40.714110999999995)"
World Trade Center,40.712582,-74.009781,"(-74.009781, 40.712582)"
Fulton St,40.710196999999994,-74.00769100000001,"(-74.00769100000001, 40.710196999999994)"
155 St,40.830135,-73.938209,"(-73.938209, 40.830135)"
Roosevelt Island,40.759145000000004,-73.95326,"(-73.95326, 40.759145000000004)"
Lexington Av/63 St,40.764629,-73.966113,"(-73.966113, 40.764629)"
57 St,40.763971999999995,-73.97745,"(-73.97745, 40.763971999999995)"
47-50 Sts - Rockefeller Ctr,40.758663,-73.981329,"(-73.981329, 40.758663)"
42 St - Bryant Pk,40.754222,-73.984569,"(-73.984569, 40.754222)"
34 St - Herald Sq,40.749719,-73.98782299999999,"(-73.98782299999999, 40.749719)"
23 St,40.742878000000005,-73.99282099999999,"(-73.99282099999999, 40.742878000000005)"
14 St,40.738228,-73.996209,"(-73.996209, 40.738228)"
Broadway-Lafayette St,40.725297,-73.996204,"(-73.996204, 40.725297)"
Grand St,40.718267,-73.993753,"(-73.993753, 40.718267)"
2 Av,40.723402,-73.989938,"(-73.989938, 40.723402)"
Delancey St,40.718610999999996,-73.988114,"(-73.988114, 40.718610999999996)"
East Broadway,40.713715,-73.990173,"(-73.990173, 40.713715)"
Lexington Av/53 St,40.757552000000004,-73.96905500000001,"(-73.96905500000001, 40.757552000000004)"
5 Av/53 St,40.760166999999996,-73.975224,"(-73.975224, 40.760166999999996)"
7 Av,40.762862,-73.981637,"(-73.981637, 40.762862)"
Marble Hill - 225 St,40.874561,-73.90983100000001,"(-73.90983100000001, 40.874561)"
215 St,40.869444,-73.915279,"(-73.915279, 40.869444)"
207 St,40.864621,-73.91882199999999,"(-73.91882199999999, 40.864621)"
Dyckman St,40.860531,-73.925536,"(-73.925536, 40.860531)"
191 St,40.855225,-73.929412,"(-73.929412, 40.855225)"
181 St,40.849505,-73.933596,"(-73.933596, 40.849505)"
168 St - Washington Hts,40.840556,-73.94013299999999,"(-73.94013299999999, 40.840556)"
157 St,40.834041,-73.94489,"(-73.94489, 40.834041)"
145 St,40.826551,-73.95036,"(-73.95036, 40.826551)"
137 St - City College,40.822008000000004,-73.953676,"(-73.953676, 40.822008000000004)"
125 St,40.815581,-73.958372,"(-73.958372, 40.815581)"
116 St - Columbia University,40.807722,-73.96410999999999,"(-73.96410999999999, 40.807722)"
Cathedral Pkwy,40.803967,-73.966847,"(-73.966847, 40.803967)"
103 St,40.799446,-73.968379,"(-73.968379, 40.799446)"
96 St,40.793919,-73.972323,"(-73.972323, 40.793919)"
86 St,40.788644,-73.976218,"(-73.976218, 40.788644)"
79 St,40.783934,-73.979917,"(-73.979917, 40.783934)"
72 St,40.778453000000006,-73.98196999999999,"(-73.98196999999999, 40.778453000000006)"
66 St - Lincoln Center,40.77344,-73.982209,"(-73.982209, 40.77344)"
59 St - Columbus Circle,40.768246999999995,-73.98192900000001,"(-73.98192900000001, 40.768246999999995)"
50 St,40.761728000000005,-73.98384899999999,"(-73.98384899999999, 40.761728000000005)"
Times Sq - 42 St,40.75529,-73.987495,"(-73.987495, 40.75529)"
34 St - Penn Station,40.750372999999996,-73.991057,"(-73.991057, 40.750372999999996)"
28 St,40.747215000000004,-73.993365,"(-73.993365, 40.747215000000004)"
23 St,40.744081,-73.995657,"(-73.995657, 40.744081)"
18 St,40.741040000000005,-73.99787099999999,"(-73.99787099999999, 40.741040000000005)"
14 St,40.737826,-74.000201,"(-74.000201, 40.737826)"
Christopher St - Sheridan Sq,40.733422,-74.00290600000001,"(-74.00290600000001, 40.733422)"
Houston St,40.728251,-74.005367,"(-74.005367, 40.728251)"
Canal St,40.722854,-74.006277,"(-74.006277, 40.722854)"
Franklin St,40.719318,-74.006886,"(-74.006886, 40.719318)"
Chambers St,40.715478000000004,-74.009266,"(-74.009266, 40.715478000000004)"
WTC Cortlandt,40.711835,-74.012188,"(-74.012188, 40.711835)"
Rector St,40.707513,-74.01378299999999,"(-74.01378299999999, 40.707513)"
South Ferry,40.702068,-74.013664,"(-74.013664, 40.702068)"
Park Pl,40.713051,-74.008811,"(-74.008811, 40.713051)"
Fulton St,40.709416,-74.006571,"(-74.006571, 40.709416)"
Wall St,40.706821000000005,-74.0091,"(-74.0091, 40.706821000000005)"
125 St,40.804138,-73.93759399999999,"(-73.93759399999999, 40.804138)"
116 St,40.798629,-73.94161700000001,"(-73.94161700000001, 40.798629)"
110 St,40.79502,-73.94425,"(-73.94425, 40.79502)"
103 St,40.7906,-73.947478,"(-73.947478, 40.7906)"
96 St,40.785672,-73.95107,"(-73.95107, 40.785672)"
86 St,40.779492,-73.955589,"(-73.955589, 40.779492)"
77 St,40.77362,-73.959874,"(-73.959874, 40.77362)"
68 St - Hunter College,40.768141,-73.96387,"(-73.96387, 40.768141)"
59 St,40.762526,-73.967967,"(-73.967967, 40.762526)"
51 St,40.757107,-73.97192,"(-73.97192, 40.757107)"
Grand Central - 42 St,40.751776,-73.976848,"(-73.976848, 40.751776)"
33 St,40.746081,-73.982076,"(-73.982076, 40.746081)"
28 St,40.74307,-73.984264,"(-73.984264, 40.74307)"
23 St,40.739864000000004,-73.986599,"(-73.986599, 40.739864000000004)"
14 St - Union Sq,40.734673,-73.989951,"(-73.989951, 40.734673)"
Astor Pl,40.730053999999996,-73.99107,"(-73.99107, 40.730053999999996)"
Bleecker St,40.725915,-73.994659,"(-73.994659, 40.725915)"
Spring St,40.722301,-73.997141,"(-73.997141, 40.722301)"
Canal St,40.718803,-74.00019300000001,"(-74.00019300000001, 40.718803)"
Brooklyn Bridge - City Hall,40.713065,-74.004131,"(-74.004131, 40.713065)"
Fulton St,40.710368,-74.009509,"(-74.009509, 40.710368)"
Wall St,40.707557,-74.011862,"(-74.011862, 40.707557)"
Bowling Green,40.704817,-74.014065,"(-74.014065, 40.704817)"
Harlem - 148 St,40.823879999999996,-73.93647,"(-73.93647, 40.823879999999996)"
145 St,40.820421,-73.936245,"(-73.936245, 40.820421)"
135 St,40.814229,-73.94077,"(-73.94077, 40.814229)"
125 St,40.807753999999996,-73.945495,"(-73.945495, 40.807753999999996)"
116 St,40.802098,-73.949625,"(-73.949625, 40.802098)"
Central Park North (110 St),40.799075,-73.95182199999999,"(-73.95182199999999, 40.799075)"
Grand Central - 42 St,40.751431,-73.97604100000001,"(-73.97604100000001, 40.751431)"
5 Av,40.753821,-73.98196300000001,"(-73.98196300000001, 40.753821)"
Times Sq - 42 St,40.755477,-73.987691,"(-73.987691, 40.755477)"
Times Sq - 42 St,40.755983,-73.98622900000001,"(-73.98622900000001, 40.755983)"
Grand Central - 42 St,40.752769,-73.979189,"(-73.979189, 40.752769)"
34 St - 11 Av,40.755882,-74.00191,"(-74.00191, 40.755882)"
96 St,40.784318,-73.947152,"(-73.947152, 40.784318)"
86 St,40.777891,-73.951787,"(-73.951787, 40.777891)"
72 St,40.768799,-73.958424,"(-73.958424, 40.768799)"
